54,574,*Auffenberg, Walter*,**,**
54,575,*Aufre%Cre, Le%Aon*,**,**
54,576,*Augusta, Josef*,**,**
54,578,*Augusta, Josef*,**,**
54,578,*Burian, Z.*,**,**
54,579,*Augusta, Josef*,**,**
54,579,*Burian, Z.*,**,**
54,580,*Augusta, J.*,**,**
54,580,*Pokorny%A, V. L.*,**,**
54,581,*Aumann, Georg*,**,**
54,582,*Aumann, Georg*,**,**
54,583,*Avakjan, L. A.*,**,**
54,584,*Aveleyra-Arroyo de Auda, Luis*,**,**
54,585,*Aveleyra-Arroyo de Auda, Luis*,**,**
54,586,*Aveleyra-Arroyo de Auda, Luis*,**,**
54,587,*Aveleyra-Arroyo de Auda, Luis*,**,**
54,587,*Maldonado-Koerdell, M.*,**,**
54,588,*Aveleyra-Arroyo de Auda, Luis*,**,**
54,588,*Maldonado-Koerdell, M.*,**,**
54,589,*Avias, J.*,**,**
54,590,*Avnime%Alech, Mosche%A*,**,**
54,591,*Awad, Gurgis*,**,**
54,592,*Axelrod, Daniel I.*,**,**
54,593,*Azzaroli, Augusto*,**,**
54,594,*Azzaroli, Augusto*,**,**
54,595,*B., H.*,**,**
54,596,*B., H.*,**,**
54,597,*B., H.*,**,**
54,598,*B., H.*,**,**
54,599,*B., H.*,**,**
54,600,*B., H.*,**,**
54,601,*B., J.*,*Bo%Fhm, Jaroslav*,**
54,602,*B., K. H.*,**,**
54,603,*Ba%Fchler, Heinz*,**,**
54,604,*Bachmann, Friedrich*,**,**
54,605,*Bachmayer, Friedrich*,**,**
54,606,*Bachmayer, Friedrich*,**,**
54,607,*Bachmayer, Friedrich*,**,**
54,608,*Bachmayer, Friedrich*,**,**
54,609,*Bachmayer, Friedrich*,**,**
54,610,*Bachmayer, Friedrich*,**,**
54,611,*Bachmayer, Friedrich*,**,**
54,612,*Bachmayer, F.*,**,**
54,612,*Papp, A.*,**,**
54,613,*Bachmayer, F.*,**,**
54,613,*Zapfe, H.*,**,**
54,614,*Bachmayer, F.*,**,**
54,614,*Zapfe, H.*,**,**
54,615,*Bachmayer, F.*,**,**
54,615,*Zapfe, H.*,**,**
54,616,*Bachmayer, F.*,**,**
54,616,*Zapfe, H.*,**,**
54,617,*Bader, O. N.*,*= Bahder*,**
54,618,*Bader, O. N.*,*= Bahder*,**
54,619,*Bader, O. N.*,*= Bahder*,**
54,620,*Bader, Robert S.*,**,**
54,621,*Bader, Robert S.*,**,**
54,622,*Bader, Robert S.*,**,**
54,623,*Baggerly, Carmen*,**,**
54,624,*Baggerly, Carmen*,**,**
54,625,*Baggerly, Carmen*,**,**
54,626,*Baier, Johann Jacob [1677-1735]*,**,**
54,627,*Bailloud, Ge%Arard*,**,**
54,628,*Baird, Donald*,**,**
54,629,*Baird, Donald*,**,**
54,630,*Baird, Donald*,**,**
54,631,*Baird, Donald*,**,**
54,632,*Baird, Donald*,**,**
54,633,*Baird, Donald*,**,**
54,634,*Baird, Donald*,**,**
54,635,*Baird, Donald*,**,**
54,636,*Baird, Donald*,**,**
54,637,*Baity, Elizabeth Chesley*,**,**
54,638,*Bakalov, Petur*,**,**
54,639,*Bakalov, Petur*,**,**
54,640,*Baker, Alfred A.*,**,**
54,641,*Baker, W. E.*,**,**
54,641,*Campbell, T. N.*,**,**
54,641,*Evans, G. L.*,**,**
54,642,*Balabai, P. P.*,**,**
54,643,*Balabai, P. P.*,**,**
54,643,*Opalatenko, L. K.*,**,**
54,644,*Balland, R.*,**,**
54,646,*Balout, Lionel*,**,**
54,648,*Balout, Lionel*,**,**
54,649,*Balout, Lionel*,**,**
54,650,*Balout, Lionel*,**,**
