99,437,*ALESSANDRI, GIULIO de*,**,**
99,438,*ALESSANDRI, GIULIO de*,**,**
99,439,*ALESSANDRI, GIULIO de*,**,**
99,440,*ALESSANDRI, GIULIO de*,**,**
99,441,*ALESSANDRI, GIULIO de*,**,**
99,442,*ALESSANDRI, GIULIO de*,**,**
99,443,*ALESSANDRI, GIULIO de*,**,**
99,444,*ALESSANDRINI, ANTONIO*,**,**
99,445,*ALESSI, GIUSEPPE*,**,**
99,446,*ALESSI, GIUSEPPE*,**,**
99,447,*ALESSI, GIUSEPPE*,**,**
99,448,*ALEXANDER, B.*,**,**
99,449,*ALEXANDER, HENRY (Captain)*,**,**
99,450,*ALEXANDER, HENRY (Captain)*,**,**
99,451,*ALEXANDER, HENRY (Captain)*,**,**
99,452,*ALEXANDER, WILLIAM*,**,**
99,453,*ALEXEJEW, A. K.*,*=ALEKSIEV; ALEKSEEV; ALEKSEJEW =Alekseyer, Al*,**
99,454,*ALEXEJEW, A. K.*,*=ALEKSIEV; ALEKSEEV; ALEKSEJEW =Alekseyer, Al*,**
99,455,*ALEXEJEW, A. K.*,*=ALEKSIEV; ALEKSEEV; ALEKSEJEW =Alekseyer, Al*,**
99,456,*ALEXEJEW, A. K.*,*=ALEKSIEV; ALEKSEEV; ALEKSEJEW =Alekseyer, Al*,**
99,457,*ALEXEJEW, A. K.*,*=ALEKSIEV; ALEKSEEV; ALEKSEJEW =Alekseyer, Al*,**
99,458,*ALEXEJEW, A. K.*,**,**
99,458,*E. A. GAPONOV*,**,**
99,458,*V. I. KROKOS*,**,**
99,459,*ALFEROV, B.*,**,**
99,460,*ALIBERT, ISMIN*,**,**
99,460,*ALPHONSE AYMAR*,**,**
99,461,*ALIX*,*=ALIX, EDMOND ?*,**
99,462,*ALLAN, DOUGLAS A.*,**,**
99,463,*ALLAN, J. McGRIGOR*,**,**
99,464,*ALLEN, A. LEWER*,**,**
99,465,*ALLEN, GLOVER MORRILL*,**,**
99,466,*ALLEN, GLOVER MORRILL*,**,**
99,467,*ALLEN, GLOVER MORRILL*,**,**
99,468,*ALLEN, GLOVER MORRILL*,**,**
99,469,*ALLEN, GLOVER MORRILL*,**,**
99,470,*ALLEN, GLOVER MORRILL*,**,**
99,471,*ALLEN, GRANT*,**,**
99,472,*ALLEN, HARRISON*,**,**
99,473,*ALLEN, HENRY ATTWOOL*,**,**
99,474,*ALLEN, HENRY ATTWOOL*,**,**
99,475,*ALLEN, HENRY ATTWOOL*,**,**
99,476,*ALLEN, JOEL ASAPH*,**,**
99,477,*ALLEN, JOEL ASAPH*,**,**
99,478,*ALLEN, JOEL ASAPH*,**,**
99,479,*ALLEN, JOEL ASAPH*,**,**
99,480,*ALLEN, JOEL ASAPH*,**,**
99,481,*ALLEN, JOEL ASAPH*,**,**
99,482,*ALLEN, JOEL ASAPH*,**,**
99,483,*ALLE%AON-DULAC, JEAN-LOUIS*,**,**
99,484,*ALLIES, JABEZ*,**,**
99,485,*ALLIES, JABEZ*,**,**
99,486,*ALLIONI, CAROLUS [CARLO]*,**,**
99,487,*ALLIS, EDWARD PHELPS*,**,**
99,488,*ALLIS, EDWARD PHELPS*,**,**
99,489,*ALLIS, EDWARD PHELPS*,**,**
99,490,*ALLIS, EDWARD PHELPS*,**,**
99,491,*ALLIS, EDWARD PHELPS*,**,**
99,492,*ALLIS, EDWARD PHELPS*,**,**
99,493,*ALLIS, EDWARD PHELPS*,**,**
99,494,*ALLIS, EDWARD PHELPS*,**,**
99,495,*ALLIS, THOMAS*,**,**
99,496,*ALLIS, THOMAS*,**,**
99,497,*ALLIS, THOMAS*,**,**
99,498,*ALLIS, THOMAS*,**,**
99,499,*ALLMAN, G. J.*,**,**
99,500,*ALLMAN, G. J.*,**,**
99,501,*ALLPORT, DOUGLAS*,**,**
99,502,*ALLPORT, DOUGLAS*,**,**
99,503,*ALLPORT, DOUGLAS*,**,**
99,504,*ALLPORT, S.*,**,**
99,505,*ALMERA, JAIME*,**,**
99,506,*ALMERA, JAIME*,**,**
99,507,*ALMERA, JAIME*,**,**
99,508,*ALMERA, JAIME*,**,**
99,509,*ALMERA, JAIME*,**,**
99,510,*ALMERA, JAIME*,**,**
99,511,*ALMERA, JAIME*,**,**
99,512,*ALMERA, JAIME*,**,**
99,513,*ALMERA, JAIME*,**,**
99,514,*ALMERA, JAIME*,**,**
99,515,*ALMERA, JAIME*,**,**
99,516,*ALMERA, JAIME*,**,**
99,517,*ALMERA, JAIME*,**,**
99,518,*ALMERA, JAIME*,**,**
99,519,*ALMERA, JAIME*,**,**
99,520,*ALMERA, JAIME*,**,**
99,521,*ALMERA, JAIME*,**,**
99,522,*ALMERA, JAIME*,**,**
99,523,*ALMERA, JAIME*,**,**
